Common Words Part 10

'kiss': KEUS
'what': WHA
'that': HA
'desk': TKEFBG
'guns': TKPW-PBS
'line': HRAOEUPB
'boat': PWOET
'than': THAB
'body': PWO*ED
'area': KWRA*ER
'tens': TEPBZ
'dies': TKAOEUZ
'tell': TEL
'died': TKAOEUD
'play': PHRAEU
'told': TOLD
'make': PAEUBG
'ride': RAOEUD
'joke': SKWROEBG
'bone': PWOEPB
'gets': TKPWETS
'dirt': TKEURT
'rode': ROED
'torn': TORPB
'tore': TO*R
'tear': TAER
'main': PHAEUPB
'does': KOS
'team': TAEPL
'wood': WAOD
'book': PAOBG
'sign': SAOEUPB
'rich': REUFP
'wife': WAOEUF
'like': HAOEUBG
'boot': PWAOT
'fact': TPABT
'teas': TAES
'tall': TAUL
'done': TKOB
'hold': HOLD
'bore': PWOR
'plan': PHRAPB
'last': HRAFT
'talk': TAUBG
'held': HELD
'sigh': SAOEU
'side': SOEUD
'miss': PHEUS
'took': TAOBG
