Common Words Part 13

'card': KARD
'lift': HREUFT
'gods': TKPWODZ
'fire': TPAOEUR
'love': HOF
'read': RAED
'hell': HEL
'path': PA*T
'care': KAEUR
'home': HAOPL
'nods': TPHODZ
'past': PAFT
'your': KWOUR
'help': HEP
'case': KAEUS
'loud': HROUD
'step': STEP
'pass': PAS
'gold': TKPWOELD
'hang': HAPBG
'laid': HRAEUD
'wild': WAOEULD
'work': WORB
'cats': KATS
'rain': RAEUPB
'good': KPWAOD
'stay': STAEU
'fish': TPEURB
'dust': TK*US
'part': PART
'lots': HROTS
'knee': TPHAOE
'sets': SETS
'each': AOEFP
'fits': TPEUTS
'grab': TKWRAB
'ears': AOERS
'wears': WAERS
'waver': WA*EFR
'goods': TKPAODZ
'waves': WAFS
'waved': WAFD
'won't': WOPT
'water': WAUR
'about': P
'watch': WAFP
'edged': EPBLGD
'parts': PARTS
'avoid': A/SREUD
'seats': SAOETS
