Common Words Part 15

'heavy': HOEUF
'isn't': S-PT
'turns': TURPS
'tries': TRAOEUS
'tried': TROEUD
'sands': SAPBDZ
'wells': WELS
'pains': PAEUPBS
'truth': TRAOUT
'trust': TRUF
'truer': TRAOUR
'safer': SAEUFR
'beach': PWAEFP
'truck': TRUBG
'bears': PWAERS
'enjoy': TPHOEUPBLG
'beats': PWAOETS
'hello': HEL/HRO
'alone': A/HROPB
'pages': PAEUPBLGS
'trips': TREUPS
'tripe': TRAOEUP
'treed': TRAOE/-D
'trees': TRAOES
'kinds': KEUPBDZ
'beers': PWAOERS
'owner': OERPB
'begin': STKPEUPB
'began': TKPWAPB
'helps': HEPS
'begun': TKPWUPB
'wound': WOUPBD
'enter': *EPT
'train': TRAEUPB
'owned': OEPBD
'track': TRABG
'below': PWHRO
'great': TKWRAET
'winds': WEUPBDZ
'towns': TOUPBS
'windy': WEUPB/TKEU
'bends': PWEPBDZ
'touch': TUFP
'likes': HRAOEUBGS
'rowed': ROE/-D
'evens': AO*EF/-PBS
'liked': HRAOEUBGD
'event': AOEBT
'image': EUPBLG
'round': ROUPBD
