Common Words Part 59

'shoulders': SHOURLDZ
'showering': SHOURG
'doctoring': TKR-G
'shrugging': SHR*UG/-G
'sightings': SAOEUT/-GS
'distances': STKAPBSZ
'wrappings': WRAP/-GS
'admitting': AD/PHEUGT
'discovers': SKOFRS
'disappear': TEUS/PAOER
'bettering': PWET/ER/-G
'different': TEUFRPB
'silvering': SEUL/SRER/-G
'situation': SWAUGS
'belonging': PWAOE/HROPBG/-G
'daughters': TKAURS
'accepting': SEPG
'crossings': KROFGS
'creatures': KRAOEFPS
'countries': KUPBTS
'believers': PWHREFRS
'countered': KOUPBT/ERD
'believing': PWHREFG
'appearing': A/PAOERG
'something': S-G
'sometimes': SAOEUPLS
'travelled': TRAFLD
'beginning': STKPWEUPG
'apartment': ARPLT
'traveling': TRAFLG
'traveller': TRA*FL/ER
'continued': T-PBD
'continues': T-PBS
'travelers': TRA*FL/ERS
'considers': K-RS
'confusing': KAOUFG
'computers': KPAOURTS
'beautiful': WAOUFL
'companies': K-PS
'troubling': TRUBLG
'somewhere': SWR
'colorings': KOL/ORGS
'discovered': SKOFD
'interested': TR-D
'whispering': WHEUS/PERG
'apartments': APT/-PLTS
'approached': A/ROEFP
'mentioning': PHEPBGS/-G
'happenings': HAPGS
'approaches': A/PROEFPS
