Lesson 5 Exercise 3
Prefix Compounds
'unkind': UPB/KEUPBD
'undo': UPB/TKO
'respect': RE/SPEBGT
'redress': RE/TKRES
'inspect': EUPB/SPEBGT
'inject': EUPB/SKWREBGT
'impress': EUPL/PRES
'improve': EUPL/PROF
'irate': EUR/AEUT
'iran': EUR/APB
'disdain': TKEUS/TKAEUPB
'disease': TKEUS/AOES
'entrust': EPB/TRUFT
'enhance': EPB/HAPBS
'embalm': EPL/PWAUPL
'embark': EPL/PWARBG
'non-event': TPHAUPB/EFPBT
'overstate': AUFR/STAEUT
'overcook': AUFR/KAOBG
'misspell': PHEUZ/SPEL
'misprint': PHEUZ/PREUPBT
'subscribe': SAUB/SKRAOEUB
'sublet': SAUB/HRET
'prevent': PRE/SREPBT
'pre-emptive': PRE/EPL/TEUF
'interject': EUPBT/SKWREBGT
'interrogate': EUPBT/TKPWAEUT
'foreground': TPOER/TKPWROUPBD
'forehead': TPOER/HED
'derange': TKE/HREURBT
'deport': TKE/PORT
'transform': TRAPBS/TPORPL
'transgress': TRAPBS/TKPWRES
'superman': SAOUP/PHAPB
'superheat': SAOUP/HAOET
'semisolid': SPHEU/SOLD
'semicharmed': SPHEU/KHARPLD
'antimatter': APB/TEU/PHAERT
'antipole': APB/TEU/POEUL
'anti-inflammatory': A*EUPBT/EUPB/TPHRAPL/TOER
'anti-aliasing': A*EUPBT/AEUL/KWRAS/-G
'midnight': PHEUD/TPHAOEUT
'midsummer': PHEUD/SAOURPL
'mid-section': PH*EUD/EBGS
'mid-step': PH*EUD/STEP
'underdress': UPBD/TKRES
'underwear': UPBD/WAER
